,Community 1,Community 2,Community 3,Community 4,Community 5,Community 6,Community 7,Community 8,Community 9,Community 10,Community 11
mentions,164.71052631578948,148.45454545454547,84.52173913043478,141.0,65.2,67.58823529411765,55.68,135.0,124.0,110.0,167.0
clustering index,0.7376502597139033,0.9883449883449884,0.9480654089349742,1.0,0.9555555555555555,0.9507949424829221,0.8407021018262572,1.0,1.0,0.9333333333333333,0.9642857142857143
eigenvector centrality,0.08922061055982211,0.005009620653582469,0.007019846942322137,0.005894527809299014,0.0036170179864413003,0.007847984935004517,0.023092734508587637,0.005894527809299014,0.002853720287918308,0.012278048490364412,0.009527526763435655
% business users,0.4223419843885724,0.5920255183413079,0.0010170701243085707,0.5035460992907801,0.0,0.0017175668221252694,0.9616093824529222,0.5111111111111111,0.5483870967741935,0.23636363636363636,0.1377245508982036
%fake users,0.02209747310643311,0.0,0.0005115089514066496,0.0,0.0,0.0,0.002408393055325021,0.0,0.0,0.02727272727272727,0.005988023952095809
%negative captions,0.4413349208367689,0.0,0.9643719806763286,1.0,0.25595238095238093,0.09313725490196079,0.38038455558889006,1.0,0.5,0.5,1.0
%negative comments,0.14769391396918333,0.5,0.2980546420071942,0.0,0.0,0.4117647058823529,0.137646616290499,0.0,0.5,0.07692307692307687,0.0
Density,0.6463282099052942,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
